,Emotion,URLs,color
64,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoD26bIERkwTmjk2whoOHn1Q4dMiX9CcmlYhQkD1mNqQV9A3PCBhjMOFp0fg&s,"(193, 198, 196)"
65,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0IkYwvcG3vwkeesO50GiF9SBRkGf0ePdiYnkZl69rIH-gm9abZ4-psBIAHFE&s,"(29, 29, 29)"
66,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXqTwSd4UCr1wZm5CZdibXwqXDF2dUeLQQJVfk6C1v3N8vvLh-_e5IunAvlg&s,"(14, 14, 15)"
67,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFys1U9O8iLn0k-W2x2avjn1WNPLfCGmnCSeik0N6aVSWrUKU3L-FzdM3SJbY&s,"(24, 24, 24)"
68,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJfIU_pXxgFW9PdX8KtHVh4VcLgy_j901ScI8LBc_qhYmED5KcOSyRxIHxnA&s,"(12, 12, 12)"
69,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe8_L6-psxoceF8SR4Q2p-oYd80Q6ZIc97Qrm78TgKd9kHKne6o6t8fXxRxZM&s,"(164, 164, 164)"
70,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTryLx4K57hFFg1Y_ogK0eCIwPY9v9DynFTyaK5wUFs_WUy3e8wfjG0U-D59h8&s,"(44, 44, 44)"
71,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzK0FEVgcDreftjx-3vSBDz3WbVhrym_C3LsymWj3JK5B9Us07oOY4gK23aXk&s,"(152, 145, 139)"
72,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZgWe9a3dHOy_72sYl935701VWMh5G1rR42tjYMHS3PHvMfAwOL6eVTU246w&s,"(9, 9, 9)"
73,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUjd6_IXPMF-Y58Xfug92qpsPgVRapd6NDtUfss8ipM7NFAwXTSiR2QWOlzQ&s,"(9, 8, 10)"
74,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLBjlJD3r2-J7sngyVBlSs1LSFMgz00IH4Vcpw13byU57Q8qwTJmY-USqx2Q&s,"(53, 65, 47)"
75,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbBNtQkdYzuqWHGo2_dWgSKJvkRzrMGG_epXFzefwCn-bQ5N6cbdsC6syieA&s,"(244, 231, 209)"
76,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3gD1OSDDiMyPZSMZzRCf0fXhm4NbsqKd3SMEJpUM1bavdUlKjwes3o_JMIIc&s,"(202, 203, 220)"
77,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJaF7k9GamnpJbiHcAfs4S1XgghqqHVT0vS3Ddz7_-FMK0X_6ohwqeWhRudA&s,"(39, 36, 38)"
78,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcg4Mgdbq-pot8vOSNeeG_xsUkgg5CohLoK5r88lepbr9QSiQGxVTP4FqxpQ&s,"(46, 33, 26)"
79,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJQAxdE0lx6GzcH-IeXuf8RlC7UdblAUzNicQRE4SCvSLkmaIOGkQ1i7WkqE0&s,"(18, 18, 18)"
80,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu6ogmA3obKl8e_SRhuPDhLTGtnUxytGovNB0RS10tuELUHxSoQWXFZl8xlmE&s,"(185, 32, 36)"
81,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeMm5B6eKcWOOfeqfRrqud5jfkbT0UKnFk5QyG9hQulcplYKSKWODjkyxOizI&s,"(26, 25, 24)"
82,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNUP2ckRIfIv5fAtUGr3cte9uG-6TGlVqxxp0IS4TWdWK9oXaaPwLGY9QOoQ&s,"(24, 8, 8)"
83,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_Rn0LCAud7nxhLY83MVOH_Gj9sf76CP-tIXbptTjw8Lq4-TKtwALKLFevcTg&s,"(30, 26, 21)"
84,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiPTH2gHBWlMw7qG3YFZqwrJfxSk66PjDGhcgYQGGT7j5cBP4LGTLwQsojooc&s,"(22, 26, 32)"
85,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7h1p3FHlcav5zsZ2ljzC3xB87oS2Q2EhdpiFc9gzdqgm6QqJ2VYBEISwuLg&s,"(35, 47, 83)"
86,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmG1_zhdO5K-x_cJDT5DAdVniZ41KkT9Wfh2otUwLKzjxMupe_t9c1hhhTpSY&s,"(36, 16, 17)"
87,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ8lrlJahGf6Nigib8JNafvVWgqITswbPXe8uPa_H9WMprpAUIz1iA8aByYg&s,"(24, 27, 35)"
88,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMRGJ7EjmI2FyZZqZq-KIoDrN8OE3FdFNa51_LJXoSe5CgulywOcguwoAXr9Q&s,"(227, 217, 208)"
89,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0W5485Z6DRokBo7x92WxtWoG9HkQvLTJrj7kZNeZVkHUbFepZ_GmF0jyvhQ&s,"(38, 59, 113)"
90,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtKdCmjp8SOxwtv9BAYrpNhguVAE3NSCprv6embzq6kclUoLMSoQl3AR7bJQ&s,"(237, 232, 224)"
91,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJyBFEoYBKrCV7mMhafA1QmTNmTQ4J2D9_3Zxhz8KVtddaXCEsF23TbMzzMA&s,"(15, 28, 34)"
92,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRWGXCRWAMfZP49aV2ODKYU9_RRqB1_8kN7R8JyPHlNMljNpqjtaG7nAitsg&s,"(193, 182, 185)"
93,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9OOmIhoM_VnnSZX_OY5EhIC0Hb0Kts8obZ7Wt_CzrMllHiYBHYSzGOSBrcA&s,"(37, 37, 37)"
94,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqROJICOQEoVlI5ReUz9XEZOb6ZdsQEmjtEp57XcekBU3UjTpxmgYBYFaFIbs&s,"(46, 65, 70)"
95,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr4YK-E8ds-NUV5lbGTeJfPgxzYhNOwzfgkzPTcrr4xVe6bR3elmUscibHJQ&s,"(202, 193, 191)"
96,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhAAUvB2rJAKlQek7czIFf8zshA5qy9ekkH4OI5H6TZxOx4f--akvStWrZA3E&s,"(203, 63, 61)"
97,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXeCHNVd4dXSIjg-k6dP4574cCJ8k5s1KGP9bfwGmbnnKARO_eVDjsxLlz4qg&s,"(97, 117, 64)"
98,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlhIiugsRrVW1AqheeMLFJyouHWv019Wg-bTdmc5RZYwaSBwaRpUjoQWCzK_E&s,"(21, 31, 39)"
99,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMpz5fc0GquX0ZtSMU9Wdzu1D7JZ-CqnokE2mRTnV6KOAT8NQ-4enaJ2JeoOE&s,"(190, 34, 64)"
100,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-h-fjPcP0hut-h1wpcqOO83LeObisyiimtj-VpAyWvF9pYo5EsKrxVA2uEEE&s,"(223, 223, 223)"
101,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlqkDt8gJn6-O-NY6CreirLO9MCbRg5C9sqFZxoXXy81Q7EZFS8l99uYk_NA&s,"(65, 65, 65)"
102,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPSKRDHda4NVuLrdQhIzJpCJAVOolnxgT5dO_I9sLfXGXMmaqZm9md5LIlPw&s,"(34, 31, 27)"
103,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzxOJX9sbtrqm8QwPVNPTGVzZ3Sf89xO47TpTryJ7RJzz5ZAppJUtIbN0l_Q&s,"(56, 56, 56)"
104,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBQ_5UWRPvYZ3nqm0Sj9H1GEAdfPtox1HUO4k_RNNCX-V1enDLxBR-nB3ERQ&s,"(225, 225, 225)"
105,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNdphuwjdKgnOaJUbfd7OCnCsDgldBkZteR2KSwdZ8PCr1Zpk-9jorbNhnpg&s,"(154, 147, 129)"
106,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv5Plgzpms_DTC4pteb5pcXX5S7qug-w--rKohPO6AsAGQIQSyG_GtiepblhE&s,"(197, 197, 197)"
107,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvSJkvV4YwANrF52JrpZeQo7NiwKQkSZfgCUvWaWzXwVaVfczYBGYFNIEAPLM&s,"(200, 181, 165)"
108,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8L1MMbAiGyIXeZ2cAzvk8TQ-nPeqGuK1MyZ7XUk3W7GfIpJrFl-OP9hlN7g&s,"(87, 87, 81)"
109,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqqJFQxbiwHQ9h6JdpufyPUFWWC5VHberuTu_oJTu9JD1Bsbk2JSdcfBcX8yQ&s,"(48, 27, 18)"
110,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPjYsC6GDRM1L7BK2JNXgUpo-w1E4by9X6Ho7oPl5PjdYp7QIFSjj85zRTig&s,"(35, 35, 35)"
111,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQYQMzC7JvaQ8jOWNKqKB_ac_vgDySXy32SnH7j-Z88nHI_H45WsuE8eXrlw&s,"(211, 198, 197)"
112,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRaexRMq3NLcoqziUIrGa_QXdT8M1Mg8JbkF6M3ORDrPoTxx_vGalTJrGrZg&s,"(217, 189, 161)"
113,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAsmt4rHuya1epzcJT8aa0-m8M76Ay-C8eCfvd12gT2In-ptW_tQL_59mgY0Y&s,"(62, 62, 62)"
114,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9HeBw4k28IZdCJZeNIkEULZafljzyF_kWSBzaHvsS71QmM2rOSt4IHI1-yw&s,"(35, 22, 26)"
115,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY-zvH_DXRCjooqocYVcUCRiHukLEmWOO7AZrsEf2ESG884hLcSp7RtZq5Tng&s,"(145, 145, 145)"
116,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTI0XEfU0eElN0bQtsSc9CPAUA1bQ-ZL8lDRy1tNXPwXlNQGhTaPxeNj6qr5Og&s,"(226, 219, 217)"
117,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2EEy3Gr0vwN0z9wGRhujDjSLc2ExG1JJRisjwsZ1f-sJEVkfMb4SPq4gtfmM&s,"(42, 42, 42)"
118,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRIk-OQz1SoXC4EQtDk-UANjeFUDusnsrqHEBxr4TVTEP3yRGRqoFYREkqUeU&s,"(231, 203, 175)"
119,hysteria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJls1Jn2o8W1z1RQPnXjyCvFwNtOfQy2aNtoPrZlxteFPbrGAUC-i0xbE6NvQ&s,"(187, 187, 187)"
120,dumbstruck,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQahta79tFG5B0HgQJZlibI1mL7HlaGmYi_HPE0zLxe83yJboV4wYMWfTGVfO4&s,"(66, 37, 36)"
121,dumbstruck,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdMPcWBlS5Lst8HVTjPIOvHJFiKvI0urfRJuV5zlSn1gJCMpmZ16pOtXA8lZk&s,"(107, 164, 193)"
122,dumbstruck,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDcZjVP_IY_HVyaGCcT0GggDp3M2cEO1ndsSU3i43aNUgDs82te_ZUzal1BS8&s,"(114, 33, 33)"
